sample_id,big_region,sub_region,fastq1,fastq2
population2_ZH10,population2,ZH10,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH10/DP8450001333TR_L01_470_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population2/ZH10/DP8450001333TR_L01_470_2.fq.gz
population5_NN01,population5,NN01,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN01/E100055946_L01_409_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN01/E100055946_L01_409_2.fq.gz
population5_NN02,population5,NN02,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN02/FP150000310TL_L01_194_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN02/FP150000310TL_L01_194_2.fq.gz
population5_NN03,population5,NN03,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN03/E100055946_L01_410_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN03/E100055946_L01_410_2.fq.gz
population5_NN04,population5,NN04,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN04/E100055946_L01_411_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN04/E100055946_L01_411_2.fq.gz
population5_NN05,population5,NN05,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN05/FP150000349BR_L01_195_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/NN05/FP150000349BR_L01_195_2.fq.gz
population5_YL04,population5,YL04,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL04/FP150000349BR_L01_196_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL04/FP150000349BR_L01_196_2.fq.gz
population5_YL05,population5,YL05,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL05/FP150000349BR_L01_197_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL05/FP150000349BR_L01_197_2.fq.gz
population5_YL06,population5,YL06,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL06/FP150000349BR_L01_198_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL06/FP150000349BR_L01_198_2.fq.gz
population5_YL07,population5,YL07,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL07/E100055946_L01_413_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL07/E100055946_L01_413_2.fq.gz
population5_YL08,population5,YL08,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL08/FP150000349BR_L01_199_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population5/YL08/FP150000349BR_L01_199_2.fq.gz
population6_DZ01,population6,DZ01,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ01/FP150000409TR_L01_463_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ01/FP150000409TR_L01_463_2.fq.gz
population6_DZ02,population6,DZ02,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ02/FP150000409TR_L01_462_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ02/FP150000409TR_L01_462_2.fq.gz
population6_DZ03,population6,DZ03,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ03/FP150000413BL_L01_457_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ03/FP150000413BL_L01_457_2.fq.gz
population6_DZ04,population6,DZ04,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ04/FP150000413BL_L01_453_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ04/FP150000413BL_L01_453_2.fq.gz
population6_DZ05,population6,DZ05,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ05/FP150000413BL_L01_455_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ05/FP150000413BL_L01_455_2.fq.gz
population6_DZ06,population6,DZ06,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ06/FP150000413BL_L01_452_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ06/FP150000413BL_L01_452_2.fq.gz
population6_DZ07,population6,DZ07,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ07/FP150000409TR_L01_287_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/DZ07/FP150000409TR_L01_287_2.fq.gz
population6_WC05,population6,WC05,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/WC05/FP150000413BL_L01_456_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/WC05/FP150000413BL_L01_456_2.fq.gz
population6_WC06,population6,WC06,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/WC06/DP8450003233TL_L01_289_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/WC06/DP8450003233TL_L01_289_2.fq.gz
population6_WC07,population6,WC07,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/WC07/FP150000409TR_L01_288_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/WC07/FP150000409TR_L01_288_2.fq.gz
population6_WC08,population6,WC08,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/WC08/FP150000409TR_L01_464_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/WC08/FP150000409TR_L01_464_2.fq.gz
population6_WC09,population6,WC09,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/WC09/FP150000413BL_L01_451_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/WC09/FP150000413BL_L01_451_2.fq.gz
population6_WC11,population6,WC11,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/WC11/FP150000413BL_L01_461_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population6/WC11/FP150000413BL_L01_461_2.fq.gz
population7_DF01,population7,DF01,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF01/FP150001911BR_L01_424_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF01/FP150001911BR_L01_424_2.fq.gz
population7_DF02,population7,DF02,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF02/FP150001913BR_L01_425_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF02/FP150001913BR_L01_425_2.fq.gz
population7_DF03,population7,DF03,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF03/FP150001913BR_L01_426_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF03/FP150001913BR_L01_426_2.fq.gz
population7_DF04,population7,DF04,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF04/FP150001913BR_L01_427_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF04/FP150001913BR_L01_427_2.fq.gz
population7_DF05,population7,DF05,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF05/FP150001913BR_L01_428_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF05/FP150001913BR_L01_428_2.fq.gz
population7_DF06,population7,DF06,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF06/FP150001913BR_L01_429_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF06/FP150001913BR_L01_429_2.fq.gz
population7_DF07,population7,DF07,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF07/FP150001913BR_L01_431_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF07/FP150001913BR_L01_431_2.fq.gz
population7_DF08,population7,DF08,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF08/FP150001913BR_L01_432_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF08/FP150001913BR_L01_432_2.fq.gz
population7_DF09,population7,DF09,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF09/FP150001913BR_L01_433_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF09/FP150001913BR_L01_433_2.fq.gz
population7_DF10,population7,DF10,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF10/FP150001913BR_L01_434_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/DF10/FP150001913BR_L01_434_2.fq.gz
population7_PE1-1,population7,PE1-1,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-1/FP150001913BR_L01_380_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-1/FP150001913BR_L01_380_2.fq.gz
population7_PE1-10,population7,PE1-10,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-10/FP150001911BR_L01_390_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-10/FP150001911BR_L01_390_2.fq.gz
population7_PE1-2,population7,PE1-2,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-2/FP150001911BR_L01_381_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-2/FP150001911BR_L01_381_2.fq.gz
population7_PE1-3,population7,PE1-3,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-3/FP150001911BR_L01_382_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-3/FP150001911BR_L01_382_2.fq.gz
population7_PE1-4,population7,PE1-4,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-4/FP150001911BR_L01_383_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-4/FP150001911BR_L01_383_2.fq.gz
population7_PE1-5,population7,PE1-5,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-5/FP150001913BR_L01_384_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-5/FP150001913BR_L01_384_2.fq.gz
population7_PE1-6,population7,PE1-6,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-6/FP150001911BR_L01_385_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-6/FP150001911BR_L01_385_2.fq.gz
population7_PE1-7,population7,PE1-7,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-7/FP150001913BR_L01_386_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-7/FP150001913BR_L01_386_2.fq.gz
population7_PE1-8,population7,PE1-8,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-8/FP150001911BR_L01_388_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-8/FP150001911BR_L01_388_2.fq.gz
population7_PE1-9,population7,PE1-9,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-9/FP150001913BR_L01_389_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE1-9/FP150001913BR_L01_389_2.fq.gz
population7_PE2-1,population7,PE2-1,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-1/FP150001911BR_L01_391_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-1/FP150001911BR_L01_391_2.fq.gz
population7_PE2-10,population7,PE2-10,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-10/FP150001913BR_L01_396_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-10/FP150001913BR_L01_396_2.fq.gz
population7_PE2-11,population7,PE2-11,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-11/FP150001913BR_L01_440_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-11/FP150001913BR_L01_440_2.fq.gz
population7_PE2-2,population7,PE2-2,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-2/FP150001911BR_L01_392_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-2/FP150001911BR_L01_392_2.fq.gz
population7_PE2-3,population7,PE2-3,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-3/FP150001911BR_L01_393_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-3/FP150001911BR_L01_393_2.fq.gz
population7_PE2-4,population7,PE2-4,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-4/FP150001911BR_L01_394_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-4/FP150001911BR_L01_394_2.fq.gz
population7_PE2-5,population7,PE2-5,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-5/FP150001913BR_L01_436_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-5/FP150001913BR_L01_436_2.fq.gz
population7_PE2-6,population7,PE2-6,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-6/FP150001913BR_L01_437_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-6/FP150001913BR_L01_437_2.fq.gz
population7_PE2-7,population7,PE2-7,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-7/FP150001913BR_L01_395_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-7/FP150001913BR_L01_395_2.fq.gz
population7_PE2-8,population7,PE2-8,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-8/FP150001913BR_L01_438_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-8/FP150001913BR_L01_438_2.fq.gz
population7_PE2-9,population7,PE2-9,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-9/FP150001913BR_L01_439_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE2-9/FP150001913BR_L01_439_2.fq.gz
population7_PE3-1,population7,PE3-1,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-1/FP150001913BR_L01_441_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-1/FP150001913BR_L01_441_2.fq.gz
population7_PE3-10,population7,PE3-10,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-10/FP150001913BR_L01_401_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-10/FP150001913BR_L01_401_2.fq.gz
population7_PE3-11,population7,PE3-11,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-11/FP150001911BR_L01_402_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-11/FP150001911BR_L01_402_2.fq.gz
population7_PE3-12,population7,PE3-12,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-12/FP150001913BR_L01_446_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-12/FP150001913BR_L01_446_2.fq.gz
population7_PE3-2,population7,PE3-2,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-2/FP150001913BR_L01_442_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-2/FP150001913BR_L01_442_2.fq.gz
population7_PE3-3,population7,PE3-3,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-3/FP150001913BR_L01_443_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-3/FP150001913BR_L01_443_2.fq.gz
population7_PE3-4,population7,PE3-4,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-4/FP150001913BR_L01_444_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-4/FP150001913BR_L01_444_2.fq.gz
population7_PE3-5,population7,PE3-5,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-5/FP150001913BR_L01_397_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-5/FP150001913BR_L01_397_2.fq.gz
population7_PE3-6,population7,PE3-6,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-6/FP150001911BR_L01_398_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-6/FP150001911BR_L01_398_2.fq.gz
population7_PE3-7,population7,PE3-7,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-7/FP150001911BR_L01_399_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-7/FP150001911BR_L01_399_2.fq.gz
population7_PE3-8,population7,PE3-8,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-8/FP150001913BR_L01_400_1.fq.gz,/public/agis/wanfanghao_group/zoujianghua/sorted_data/population7/PE3-8/FP150001913BR_L01_400_2.fq.gz
